STATION,LINE,Lon,Lat,Height_Ellipsoid,Height_Sealevel,Total Gravity,Free Air Disturbance
2.0,200.0,116.2212717,-31.52120402,206.73,235.6,1.4943620093031311,-2.18307067011483
2.0,300.0,116.2212811,-31.52042764,209.068,237.94,1.5470804072397186,-1.3462655276525766
4.0,200.0,116.2201659,-31.52127499,217.752,246.63,0.230451916527727,-0.050988223403692245
4.0,300.0,116.2202286,-31.52033165,216.532,245.41,1.1261488399090922,0.5441365067381412
6.0,200.0,116.2190959,-31.52124091,221.841,250.72,-0.506791318161504,0.47649130306672305
6.0,300.0,116.2191869,-31.52034058,219.737,248.62,0.3226963120828259,0.7291176010621712
8.0,200.0,116.2181342,-31.521265530000004,222.158,251.05000000000004,-0.7261972954051998,0.3529378802049905
10.0,200.0,116.2170213,-31.52126403,221.151,250.05000000000004,-0.6019067444544817,0.1665613689692691
12.0,200.0,116.2159314,-31.52124334,222.021,250.92,-0.7382772611335895,0.3003626320278272
14.0,200.0,116.2148639,-31.52122639,219.538,248.45,-0.0489722739198441,0.22471010801382363
16.0,200.0,116.2138226,-31.52120177,214.724,243.64,0.7201444959191576,-0.4899265000130981
18.0,200.0,116.2128014,-31.52121305,213.8,242.72,0.689098555106284,-0.8070534305879846
20.0,200.0,116.2117301,-31.52119948,215.085,244.02,0.2175301224360737,-0.8809416324365884
20.0,300.0,116.21176280000002,-31.520372660000003,217.298,246.23,0.010614782545872,-0.3382903377059847
22.0,200.0,116.2107043,-31.52118116,213.91,242.85,0.3219854258531995,-1.1376497342716902
22.0,300.0,116.2106842,-31.52039954,214.267,243.2,0.4280540545337317,-0.8584677258040756
24.0,200.0,116.2097477,-31.52114038,211.54100000000005,240.49,0.6431720279588262,-1.5443211736856028
24.0,300.0,116.209652,-31.52029367,212.89,241.83,0.3774453757973788,-1.3255338558228686
26.0,200.0,116.208586,-31.52116568,212.942,241.89,0.0439133484464946,-1.7132279435172677
26.0,300.0,116.2085968,-31.52037009,216.261,245.21,-0.3436052069523612,-1.0123508085962385
28.0,200.0,116.207478,-31.52117538,212.644,241.6,-0.4086968253764098,-2.2585904931183904
28.0,300.0,116.2074826,-31.52039836,216.882,245.84,-0.9534007649258456,-1.4327644332079217
8.0,300.0,116.2180149,-31.52029539,220.891,249.78,0.3074021153233843,1.0736182085238397
10.0,300.0,116.2169706,-31.5202952,219.122,248.02,0.3331552479153288,0.5534242483554408
10.0,400.0,116.2170341,-31.51949366,218.515,247.41,0.954032383874619,1.0515001345193014
10.0,500.0,116.217013,-31.51854297,222.606,251.5,0.5090938165017178,1.9457006434677169
12.0,300.0,116.215944,-31.52039535,218.457,247.36,0.5913301868536109,0.5982980190310627
12.0,400.0,116.2159609,-31.51951249,218.293,247.19,0.9655843367086164,0.9930205931887031
12.0,500.0,116.2159533,-31.51850251,226.062,254.96,-0.4267581770068318,2.079721379559487
14.0,300.0,116.2149938,-31.52032611,219.48,248.39,0.3368778678691342,0.665146887069568
14.0,400.0,116.2149393,-31.51943953,221.761,250.67,0.1174622456028373,1.2210936811752617
14.0,500.0,116.2149072,-31.51848848,228.49,257.39,-0.9841073227039489,2.272847334854305
16.0,300.0,116.2138758,-31.52040632,216.942,245.86,0.6547803902049054,0.19329351524356753
16.0,400.0,116.2139062,-31.51942613,220.272,249.19,0.2614952806166002,0.9066591780865565
16.0,500.0,116.2138663,-31.51857121,224.6,253.51,-0.4363074040929859,1.6134283414576203
18.0,300.0,116.2128243,-31.52042212,216.709,245.63,0.3270707888741526,-0.20759860333055258
18.0,400.0,116.2128461,-31.51943114,220.874,249.79,0.0094554108554802,0.8400097520789132
18.0,500.0,116.2128054,-31.51848843,223.928,252.85,-0.3716919986345601,1.4773111927788705
20.0,400.0,116.2117856,-31.51942616,219.668,248.6,0.0017513425304969,0.4605016929563135
20.0,500.0,116.2117709,-31.51847984,224.264,253.19,-0.5968488199246167,1.3565446914872155
22.0,400.0,116.2107388,-31.519412809999995,218.36,247.29,0.2166782750709899,0.2728182732826099
22.0,500.0,116.2106882,-31.51848802,224.43500000000003,253.37,-0.9181775424867736,1.0873325993306935
24.0,400.0,116.2096445,-31.51942075,220.517,249.46,-0.4653407647447238,0.2558700762456283
24.0,500.0,116.2096462,-31.51854941,227.788,256.73,-1.8170466230644704,1.2183465578127652
26.0,400.0,116.2085997,-31.51941581,222.297,251.25,-1.191737672766067,0.07922785065602511
26.0,500.0,116.2086243,-31.51848139,229.683,258.63,-2.460437835463836,1.165278941160068
