,STATION,LINE,seconds_elapsed,GRAV.,Lon,Lat,Height_Ellipsoid_m,grav_drift
0,2.0,200.0,7297.0,3469.979333333333,116.2212717,-31.52120402,206.73,1.4943620093031313
1,2.0,300.0,7837.5,3470.032,116.2212811,-31.52042764,209.068,1.5470804072397186
2,4.0,200.0,6495.0,3468.7155000000002,116.2201659,-31.52127499,217.752,0.230451916527727
3,4.0,300.0,8552.5,3469.611,116.2202286,-31.52033165,216.532,1.1261488399090922
4,6.0,200.0,5695.0,3467.978333333333,116.2190959,-31.52124091,221.841,-0.506791318161504
5,6.0,300.0,9048.5,3468.8075,116.2191869,-31.52034058,219.737,0.3226963120828259
6,8.0,200.0,4936.0,3467.759,116.2181342,-31.521265530000004,222.158,-0.7261972954051998
7,10.0,200.0,4489.0,3467.883333333333,116.2170213,-31.52126403,221.15099999999998,-0.6019067444544817
8,12.0,200.0,4100.5,3467.747,116.2159314,-31.52124334,222.021,-0.7382772611335895
9,14.0,200.0,3804.3333333333335,3468.436333333333,116.2148639,-31.52122639,219.538,-0.048972273919844156
10,16.0,200.0,3283.0,3469.2055,116.2138226,-31.52120177,214.724,0.7201444959191576
11,18.0,200.0,2803.0,3469.1745,116.2128014,-31.52121305,213.8,0.689098555106284
12,20.0,200.0,2088.0,3468.703,116.2117301,-31.52119948,215.085,0.21753012243607373
13,20.0,300.0,23869.0,3468.494,116.21176280000002,-31.520372660000003,217.298,0.010614782545872004
14,22.0,200.0,1621.0,3468.8075,116.2107043,-31.52118116,213.91,0.32198542585319956
15,22.0,300.0,23234.5,3468.9115,116.2106842,-31.52039954,214.267,0.4280540545337317
16,24.0,200.0,19243.0,3469.1270000000004,116.2097477,-31.521140380000002,211.54100000000003,0.6431720279588262
17,24.0,300.0,22099.0,3468.8610000000003,116.209652,-31.52029367,212.89,0.3774453757973788
18,26.0,200.0,20023.0,3468.5276666666664,116.20858600000001,-31.52116568,212.942,0.04391334844649464
19,26.0,300.0,21570.5,3468.14,116.2085968,-31.52037009,216.261,-0.3436052069523612
20,28.0,200.0,20613.25,3468.075,116.207478,-31.52117538,212.644,-0.40869682537640983
21,28.0,300.0,21094.5,3467.53025,116.2074826,-31.52039836,216.882,-0.9534007649258456
0,8.0,300.0,3562.0,3468.788,116.2180149,-31.52029539,220.891,0.30740211532338435
1,10.0,300.0,3017.5,3468.8165,116.2169706,-31.5202952,219.122,0.3331552479153288
2,10.0,400.0,4182.5,3469.4314999999997,116.2170341,-31.51949366,218.515,0.954032383874619
3,10.0,500.0,12817.5,3468.943,116.217013,-31.51854297,222.606,0.5090938165017178
4,12.0,300.0,2457.5,3469.0775000000003,116.215944,-31.52039535,218.457,0.5913301868536109
5,12.0,400.0,4589.25,3469.441,116.2159609,-31.51951249,218.293,0.9655843367086163
6,12.0,500.0,12549.5,3468.0085,116.2159533,-31.51850251,226.062,-0.42675817700683183
7,14.0,300.0,2070.5,3468.825,116.2149938,-31.52032611,219.48,0.3368778678691342
8,14.0,400.0,4961.5,3468.5910000000003,116.2149393,-31.51943953,221.761,0.11746224560283736
9,14.0,500.0,11786.5,3467.455,116.2149072,-31.51848848,228.49,-0.9841073227039487
10,16.0,300.0,1456.5,3469.1459999999997,116.2138758,-31.52040632,216.942,0.6547803902049054
11,16.0,400.0,5364.5,3468.733,116.2139062,-31.51942613,220.272,0.2614952806166002
12,16.0,500.0,11449.5,3468.0045,116.2138663,-31.51857121,224.6,-0.43630740409298596
13,18.0,300.0,1018.5,3468.8205,116.2128243,-31.52042212,216.709,0.32707078887415264
14,18.0,400.0,6149.5,3468.477,116.2128461,-31.51943114,220.874,0.009455410855480295
15,18.0,500.0,11142.0,3468.0706666666665,116.2128054,-31.51848843,223.928,-0.37169199863456015
16,20.0,400.0,6505.5,3468.4674999999997,116.2117856,-31.51942616,219.668,0.0017513425304969132
17,20.0,500.0,10747.5,3467.8475,116.2117709,-31.51847984,224.264,-0.5968488199246167
18,22.0,400.0,7647.333333333333,3468.6766666666667,116.2107388,-31.519412809999995,218.36,0.2166782750709899
19,22.0,500.0,10385.0,3467.5280000000002,116.2106882,-31.518488019999996,224.43500000000003,-0.9181775424867737
20,24.0,400.0,8469.5,3467.9905,116.2096445,-31.51942075,220.517,-0.46534076474472386
21,24.0,500.0,10014.5,3466.631,116.2096462,-31.51854941,227.788,-1.8170466230644706
22,26.0,400.0,8985.5,3467.2615,116.2085997,-31.51941581,222.297,-1.1917376727660667
23,26.0,500.0,9540.5,3465.99,116.2086243,-31.51848139,229.683,-2.4604378354638357
