LINE,STATION,Northing,Easting,Height_Ellipsoid_m,Height_Sealevel,Lat,Lon
0,100,6512334.76,425068.791,214.488,243.43,-31.52146251,116.2107852
200,22,6512365.889,425060.885,213.91,242.85,-31.52118116,116.2107043
200,20,6512364.56,425158.305,215.085,244.02,-31.52119948,116.2117301
200,18,6512363.787,425260.026,213.8,242.72,-31.52121305,116.2128014
200,16,6512365.733,425356.977,214.724,243.64,-31.52120177,116.2138226
200,14,6512363.714,425455.869,219.538,248.45,-31.52122639,116.2148639
200,12,6512362.56,425557.237,222.021,250.92,-31.52124334,116.2159314
200,10,6512361.007,425660.732,221.151,250.05,-31.52126403,116.2170213
200,08,6512361.595,425766.399,222.158,251.05,-31.52126553,116.2181342
200,06,6512364.975,425857.695,221.841,250.72,-31.52124091,116.2190959
200,04,6512361.921,425959.317,217.752,246.63,-31.52127499,116.2201659
200,02,6512370.534,426064.245,206.73,235.6,-31.52120402,116.2212717
300,02,6512456.594,426064.534,209.068,237.94,-31.52042764,116.2212811
300,04,6512466.522,425964.526,216.532,245.41,-31.52033165,116.2202286
300,06,6512464.829,425865.619,219.737,248.62,-31.52034058,116.2191869
200,24,6512369.755,424970.028,211.541,240.49,-31.52114038,116.2097477
200,26,6512366.155,424859.753,212.942,241.89,-31.52116568,116.208586
200,28,6512364.319,424754.555,212.644,241.6,-31.52117538,116.207478
300,28,6512450.447,424754.373,216.882,245.84,-31.52039836,116.2074826
300,26,6512454.344,424860.136,216.261,245.21,-31.52037009,116.2085968
300,24,6512463.538,424960.263,212.89,241.83,-31.52029367,116.209652
300,22,6512452.51,425058.361,214.267,243.2,-31.52039954,116.2106842
300,20,6512456.226,425160.745,217.298,246.23,-31.52037266,116.2117628
300,18,6512451.468,425261.576,216.709,245.63,-31.52042212,116.2128243
300,16,6512453.936,425361.402,216.942,245.86,-31.52040632,116.2138758
300,14,6512463.587,425467.487,219.48,248.39,-31.52032611,116.2149938
300,12,6512456.559,425557.762,218.457,247.36,-31.52039535,116.215944
300,10,6512468.357,425655.151,219.122,248.02,-31.5202952,116.2169706
300,11,6512466.765,425656.167,219.314,248.21,-31.52030962,116.2169811
300,08,6512469.043,425754.31,220.891,249.78,-31.52029539,116.2180149
400,10,6512557.241,425660.544,218.515,247.41,-31.51949366,116.2170341
400,12,6512554.426,425558.664,218.293,247.19,-31.51951249,116.2159609
400,14,6512561.818,425461.611,221.761,250.67,-31.51943953,116.2149393
400,16,6512562.601,425363.504,220.272,249.19,-31.51942613,116.2139062
400,18,6512561.322,425262.857,220.874,249.79,-31.51943114,116.2128461
400,20,6512561.15,425162.157,219.668,248.6,-31.51942616,116.2117856
400,22,6512561.915,425062.758,218.36,247.29,-31.51941281,116.2107388
400,24,6512560.286,424958.861,220.517,249.46,-31.51942075,116.2096445
400,26,6512560.118,424859.651,222.297,251.25,-31.51941581,116.2085997
500,26,6512663.704,424861.241,229.683,258.63,-31.51848139,116.2086243
500,24,6512656.865,424958.321,227.788,256.73,-31.51854941,116.2096462
500,22,6512664.383,425057.207,224.435,253.37,-31.51848802,116.2106882
500,20,6512666.029,425160.007,224.264,253.19,-31.51847984,116.2117709
500,18,6512665.784,425258.236,223.928,252.85,-31.51848843,116.2128054
500,16,6512657.332,425359.034,224.6,253.51,-31.51857121,116.2138663
500,14,6512667.21,425457.808,228.49,257.39,-31.51848848,116.2149072
500,12,6512666.365,425557.14,226.062,254.96,-31.51850251,116.2159533
500,10,6512662.601,425657.791,222.606,251.5,-31.51854297,116.217013
